,year,word_count,polarity
0,1999,1771,0.054548206937095806
1,1999,1918,0.05672510822510819
2,1999,2863,0.12656862958370493
3,1999,2177,0.021836426016113523
4,1999,2214,0.08971256626827274
5,1999,1476,0.10949332611832613
6,1999,2281,0.011208370228256607
7,1999,1947,0.09426819833446344
8,1999,2144,-0.012267236440030554
9,1999,2391,0.06642249333158426
10,1999,2315,0.12404804743867241
11,1999,1564,0.08342516069788794
12,1999,2147,0.04011969645063169
13,1999,1807,0.11569196428571427
14,1999,2161,0.03848516218081435
15,1999,1825,0.12524771524771525
16,1999,1867,0.08639238365800865
17,1999,2023,0.036136305215252594
18,1999,2050,0.08407795152693115
19,1999,2268,0.07673607851318699
20,1999,1544,0.13357287157287157
21,1999,2299,0.15861393106111418
22,1999,1773,0.07783064498555299
23,1999,2021,0.034066392306523884
24,1999,2264,0.1174334776334776
25,1999,2422,0.11341917767904608
26,1999,2245,0.10806103565645551
27,1999,1955,0.1840939933688025
28,1999,2176,0.06147827481160812
29,1999,1565,0.00743717228865743
30,1999,2422,0.028930990578049397
31,1999,2327,0.1379847582972583
32,1999,2067,0.037285757006151735
33,1999,1592,0.14696534308603273
34,1999,2120,0.0693445498215235
35,1999,2246,0.12764902232598863
36,1999,2315,0.16247899159663864
37,1999,2217,0.13596157462066547
38,1999,2050,-0.002738496071829408
39,1999,2320,0.0947893029265578
40,1999,1924,0.06291170634920634
41,1999,2288,0.039299786108296736
42,1999,1991,0.022129775387351117
43,1999,2780,0.052288142943880636
44,1999,2210,0.122137420119563
45,1999,1528,0.11223106223106222
46,1999,2212,0.08873625869080415
47,1999,2450,0.12550635321468653
48,1999,2167,0.044987345106392726
49,1999,2307,0.161750717101327
50,1999,2369,0.252950104265653
51,1999,1962,0.14048520923520935
52,1999,2315,0.10744055427776354
53,1999,2235,0.1000514069264069
54,1999,2033,0.10859788359788361
55,1999,1754,-0.024599220779220783
56,1999,2407,0.06746568362193363
57,1999,2035,0.16999121152766988
58,1999,2306,0.09492582432422003
59,1999,2138,0.1096535030625939
60,1999,1727,0.04925012597631644
61,1999,1993,0.0620600414078675
62,1999,2282,0.16889876103585783
63,1999,2259,0.1240644172531927
64,1999,1779,0.06748429674900262
65,1999,2119,-0.013567843756522983
66,1999,1827,0.03491355109536929
67,1999,2019,0.17448054453262787
68,1999,1519,0.17786304868966163
69,1999,2067,0.040052626444135875
70,1999,2329,0.1223762838468721
