,producer,polarity
531,Mary Walsh,0.061216704863763675
532,Michael Radutzky,0.020945369184805808
535,Michael Radutzky,0.1618625730994152
544,Richard Bonin,0.07795690811535883
570,Tom Anderson,-0.019868373585478858
577,Shari Finkelstein,0.08974926671005097
578,Robert G Anderson,0.024495498462889762
584,Shari Finkelstein,0.15918871252204592
587,Tom Anderson,0.13584399996437033
589,Tom Anderson,0.06740804145349606
590,Shari Finkelstein,0.18318724179169388
592,Robert G Anderson,0.14029066171923313
593,Shari Finkelstein,0.16049500316029242
597,Tom Anderson,0.05147040683331006
599,Richard Bonin,0.013895798422008096
601,Tom Anderson,0.12318746250628278
606,Tom Anderson,0.0689647389069264
609,Robert G Anderson,0.0089864417989418
630,Robert G Anderson,0.12971240645659246
644,Robert G Anderson,0.027724921169365615
648,Tom Anderson,0.08556240981240984
656,Richard Bonin,0.028159365079365072
663,Richard Bonin,0.060076361622873255
664,Richard Bonin,0.05300058859269387
665,Robert G Anderson,0.01464919311192603
666,Tom Anderson,0.03975769998948809
674,Robert G Anderson,0.1443570718002536
675,Robert G Anderson,0.1330561171009285
687,Tom Anderson,0.04349105812220566
692,Mary Walsh,0.061477005764980455
693,Tom Anderson,0.1382796536796537
701,Michael Radutzky,0.05564911722264666
708,Steve Glauber,0.04913374248817288
711,Shari Finkelstein,0.17621270098948671
720,Mary Walsh,0.09248940063373054
725,Richard Bonin,-0.025550279114108888
730,Robert G Anderson,0.11542885869274759
742,Alan Golds,-0.021106301106301094
750,Mary Lou Teel,0.11391916054959529
756,Ed Forgotson,0.05677407729355782
758,Mary Lou Teel,0.08578146410079181
767,Alan Golds,0.13020087235996328
771,Mary Lou Teel,0.18789303193942372
790,Steve Glauber,0.043111557754414886
792,Douglas W Smith,0.09659214226816269
794,Alan Golds,0.06590245508823493
797,Steve Glauber,0.09166745375836284
801,Douglas W Smith,0.10762332969650047
802,Steve Glauber,0.11518598685265352
810,Mary Lou Teel,0.19156248633521356
821,Alan Golds,0.1321336253422868
830,Douglas W Smith,0.16467835867835875
836,Alan Golds,0.05943347035784009
842,Alan Golds,0.058633671673444375
852,Douglas W Smith,0.17306708388230127
865,Douglas W Smith,0.07086801599959495
883,Tom Anderson,0.03768037518037519
891,Robert G Anderson,0.06394993894993894
892,Tom Anderson,0.11356206624063767
893,Tom Anderson,0.14231416202844768
900,Shari Finkelstein,0.1197976278464083
911,Richard Bonin,0.09348358172785654
913,Richard Bonin,0.09108221998308204
919,Steve Glauber,0.026732121212121217
923,Mary Walsh,-0.051321482541954976
934,Tom Anderson,0.08457467112990372
951,Robert G Anderson,0.05104183619221212
961,Ed Forgotson,0.17289000782644856
979,Douglas W Smith,0.14378236543330886
990,Anthony Laudato,0.11902931756590293
993,Alan Golds,0.1095013691470384
994,Tom Anderson,0.11173179850452572
996,Douglas W Smith,0.10612466551786937
998,Douglas W Smith,0.00010123734533183517
1001,Anthony Laudato,0.15229968145062484
1014,Steve Glauber,0.12775664811379098
1022,Mary Lou Teel,0.128733904983905
1037,Douglas W Smith,0.13889751410205953
1041,Douglas W Smith,0.13771076760014817
1044,Alan Golds,-0.00795751052600367
1061,Robert G Anderson,0.039301845399406364
1062,Tom Anderson,0.1556589630482036
1068,Richard Bonin,0.10202154519135656
1098,Richard Bonin,0.05397589736652233
1100,Richard Bonin,0.05305373007180233
1114,Tom Anderson,0.02040083373416706
1115,Robert G Anderson,0.10603330381739474
1116,Richard Bonin,0.0993165505991593
1136,Tom Anderson,0.10626501752216039
1166,Alan Golds,0.1045128081285106
1169,Douglas W Smith,0.15333908088145368
1170,Steve Glauber,0.17426122931442078
1178,Steve Glauber,0.12739275875639514
1179,Alan Golds,0.03377487431922917
1180,Douglas W Smith,0.1264967040535222
1197,Steve Glauber,0.12676608831781244
1199,Alan Golds,0.16299779403227674
1201,Amiel Weisfogel,0.2444401572662443
1203,Douglas W Smith,0.11713054457619675
1207,Anthony Laudato,0.22379159397816115
1210,Anthony Laudato,0.23833198051948046
1216,Alan Golds,0.11702285056715435
1219,Ed Forgotson,0.16730534616898254
1243,Tom Anderson,0.029338846539933485
1249,Shari Finkelstein,0.029390767797017794
1257,Richard Bonin,0.09578864948183131
1278,Richard Bonin,0.13233354082785898
1285,Robert G Anderson,0.10497732725930398
1289,Ed Forgotson,0.03573179271708683
1290,Mary Lou Teel,0.19302240552240554
1293,Douglas W Smith,0.11442765850929121
1294,Mary Walsh,0.08864342348213318
1298,Robert G Anderson,0.11612949039264826
1301,Michael Radutzky,0.05162838440798965
1302,Michael Radutzky,0.07632945390538846
1304,Steve Glauber,0.1091713824996957
1315,Douglas W Smith,0.14608648741676267
1335,Michael Radutzky,0.15673997449578841
1336,Michael Radutzky,0.18814486393003982
1338,Douglas W Smith,0.13747109543405836
1344,Steve Glauber,0.13099326599326602
1346,Ed Forgotson,0.19314229479670653
1349,Steve Glauber,0.23128264495067782
1350,Douglas W Smith,0.05061904761904763
1359,Douglas W Smith,0.16129390495867765
1374,Douglas W Smith,0.2221903559403559
1376,Amiel Weisfogel,0.15801318507200857
1381,Amiel Weisfogel,0.10314935064935066
1393,Mary Walsh,0.15032534925392071
1397,Anthony Laudato,0.09914831545266331
1403,Mary Lou Teel,0.18498328651254184
1407,Anthony Laudato,0.10196296296296298
1429,Robert G Anderson,0.11141779264506532
1434,Mary Walsh,0.10218308080808078
1436,Tom Anderson,0.08071275252525253
1440,Anthony Laudato,0.26998136123136135
1445,Douglas W Smith,0.12977482618391706
1460,Anthony Laudato,0.1060810169362801
1462,Mary Walsh,0.16105080525535068
1464,Richard Bonin,0.14529747849553054
1467,Shari Finkelstein,0.11098085997484392
1468,Shari Finkelstein,0.14695244369157406
1483,Anthony Laudato,0.14148408390945708
1484,Robert G Anderson,0.07622029885822991
1488,Michael Radutzky,0.09639912836882536
1489,Tom Anderson,0.07273701472976835
1498,Richard Bonin,0.10051996614496621
1518,Michael Radutzky,0.18822324074118327
1520,Shari Finkelstein,0.20180280367780362
1536,Anthony Laudato,0.08429781003310417
1539,Alan Golds,0.1275908434999344
1540,Steve Glauber,0.07590040773180308
1543,Douglas W Smith,0.05694352986606509
1544,Anthony Laudato,0.1875952380952381
1558,Anthony Laudato,0.10328348819202479
1563,Anthony Laudato,0.10303011959791625
1575,Steve Glauber,0.05354371485212608
1579,Mary Lou Teel,0.04309187434187434
1581,Mary Walsh,0.2026542666373175
1585,Ed Forgotson,0.2092537490638756
1588,Mary Walsh,0.11375315656565659
1589,Alan Golds,0.16023936913780662
1599,Ed Forgotson,0.1822893831936385
1603,Alan Golds,0.10549304930493049
1604,Mary Walsh,0.045804801259346724
1612,Shari Finkelstein,0.1351434959237507
1615,Ed Forgotson,0.1474482479112109
1618,Steve Glauber,0.13987552530315694
1620,Robert G Anderson,0.06423012324651672
1631,Robert G Anderson,0.04476833426430197
1634,Steve Glauber,0.1366780904280904
1638,Shari Finkelstein,0.11721435702540356
1639,Shari Finkelstein,0.0709067234848485
1645,Steve Glauber,0.15059122373032147
1648,Robert G Anderson,0.0244304180667817
1649,Mary Lou Teel,0.08226998458162842
1655,Steve Glauber,0.10821480854089552
1659,Mary Walsh,0.025601051278470628
1665,Alan Golds,0.1581743065576399
1669,Robert G Anderson,0.11262072479177743
1677,Michael Radutzky,0.12532923707117255
1678,Michael Radutzky,0.12055449735449732
1679,Michael Radutzky,0.08567566596612239
1680,Richard Bonin,0.0630532839253769
1681,Douglas W Smith,0.1029569323742256
1682,Michael Radutzky,0.1310408668899235
1687,Mary Walsh,0.14940562540296579
1691,Tom Anderson,0.17659393803261741
1698,Tom Anderson,0.08186095238095233
1704,Tom Anderson,0.09122700500058994
1712,Robert G Anderson,0.09970590699622947
1715,Michael Radutzky,0.10364661640023956
1717,Jon Carras,0.23237199945229137
1723,Alan Golds,0.15496126680337205
1730,Mary Walsh,0.11144527986633243
1731,Ed Forgotson,0.06316638608305276
1732,Ed Forgotson,0.091833012666346
1737,Anthony Laudato,0.1927306903622693
1738,Ed Forgotson,0.1722767747157991
1739,Steve Glauber,0.17352909223598886
1744,Alan Golds,0.1416917388167388
1745,Anthony Laudato,0.21130447330447336
1748,Jon Carras,0.20887310606060605
1749,Amiel Weisfogel,0.23150304316145903
1754,Anthony Laudato,0.14065760059612523
1755,Steve Glauber,0.09443793606164738
1756,Jon Carras,0.10986825674325673
1759,Mary Walsh,0.11708965733062118
1769,Mary Lou Teel,0.20135340248976613
1775,Anthony Laudato,0.10984135891543297
1782,Ed Forgotson,0.09904325867369343
1787,Douglas W Smith,0.054427441865966444
1796,Anthony Laudato,0.04080571775339215
1804,Mary Walsh,0.09680558435275417
1807,Douglas W Smith,0.1497295692112765
1811,Steve Glauber,0.03837266020364612
1819,Alan Golds,0.1814802001277412
1820,Steve Glauber,0.11306720151828849
1836,Anthony Laudato,0.23037260358688927
1843,David Rothman,0.17346910665092488
1845,Steve Glauber,0.1689832762593957
1850,Douglas W Smith,0.14192212825933753
1860,Steve Glauber,0.037441745497301046
1862,Douglas W Smith,0.10259976817353869
1872,Alan Golds,0.14804186442740655
1874,Amiel Weisfogel,-0.029701355991678596
1883,Robert G Anderson,0.13921275806750666
1896,Tom Anderson,0.16395195728044565
1902,Ed Forgotson,0.12756913929846259
1903,Anthony Laudato,0.13265106978069935
1904,Alan Golds,0.06044035594035597
1909,Robert G Anderson,0.10701018426018417
1939,Ed Forgotson,0.10345784578457846
1946,Douglas W Smith,0.2960320182961693
1947,Alan Golds,0.11741938793915835
1953,Richard Bonin,0.0760571281679066
1957,Douglas W Smith,0.0957497693563267
1966,Steve Glauber,0.17392459497573143
1969,Michael Radutzky,0.15164261664261663
1970,Michael Radutzky,0.11391497851442604
1976,Douglas W Smith,0.13914273570214175
1985,Michael Radutzky,0.11268506121598902
1986,Alan Golds,0.12679352557451729
2006,Mary Lou Teel,0.19120005641145346
2010,Anthony Laudato,0.017053174999603585
2014,Jon Carras,0.2367978025872762
2018,Douglas W Smith,0.2861543330882953
2020,Mary Lou Teel,0.1782401467341226
2024,Mary Lou Teel,0.22957331248997911
2025,Amiel Weisfogel,0.07938171805518746
2037,Mary Lou Teel,0.1626950199271628
2039,Mary Lou Teel,0.21149756493506489
2041,Steve Glauber,0.16702741702741705
2049,Jon Carras,0.1807224969797644
2052,Jon Carras,0.2583212259582123
2059,Jon Carras,0.17822100122100126
2065,Ed Forgotson,0.13935973660657205
2066,Anthony Laudato,0.13824104136604135
2067,Amiel Weisfogel,0.1421767144513046
2071,Jon Carras,0.15390062830687826
2074,Jon Carras,0.12400423061786699
2083,Tom Anderson,0.10646785559362242
2084,Douglas W Smith,0.17882483565816898
2095,Douglas W Smith,0.13613070641479735
2100,Anthony Laudato,0.10829741792131169
2102,Jon Carras,0.09450727749940349
2106,David Rothman,0.00599360583056236
2118,Alan Golds,0.16508351370851368
2119,Douglas W Smith,0.08699275362318841
2120,Anthony Laudato,0.11304158283031522
2122,Amiel Weisfogel,0.08175189760555614
2128,Jon Carras,0.1741666666666666
2135,Alan Golds,0.22177931916568278
2148,Douglas W Smith,0.14308972227450498
2149,Mary Walsh,0.052602095544573436
2155,Anthony Laudato,0.16623971099323215
2157,Ed Forgotson,0.16846784168212742
2160,Douglas W Smith,0.19406818181818183
2163,Steve Glauber,0.09591630591630591
2170,Alan Golds,0.16116975056368993
2172,Jon Carras,0.17840914817105297
2175,Mary Lou Teel,0.16280232228830357
2182,Anthony Laudato,0.2699487587242689
2186,Jon Carras,0.17215579215579213
2190,Jon Carras,0.1497925954642373
2191,David Rothman,0.1277441485068604
2193,Ed Forgotson,0.1511131086544309
